FT,1,"Voltage and power across R1 will be unchanged.  R2 and R3 ,since in parallel should have same voltage drop.  With R2 decreasing current should increase to conserve.  And Vs should remain unchanged (the voltage and power associated with it)"
CS,1,"As R2 gets smaller the total power in the system across the other elements decreases due to the fact that power is conserved so if more is going over R2 (path of least resistance), the other elements must be losing power."
AS,1,"Vs will remain the same.  The power of R1 and R3 will increase to match what was lost with R2 decreasing to keep power through the circuit in equilibrium from where it started."
JN,1,"The power associated with Vs, R1 and R3 will remain relatively the same.  Since Vs is an ideal element, it's power will remain unchanged.  And since the resistance values of R1 and R3 aren't changing, their power will remain unchanged."
RM,1,"Vs will not be effected because it is an ideal voltage source and does not rely on current when outputting a voltage.  R1 will not be effected, because when the resistors are combined into a net resistance R1 is independent and simply 'adding on' to the resistance of the parallel combination of R2 and R3.  The power flowing through R1 will not change.
R3 will be effected because it is wired in parallel with R2 and is mathematically bound to the R2 resistance.  R2 cannot change without changing the power flowing through R3 in parallel."
JL,1,"Resister in series and parrall, voltage equals current times resistance, power equals current times voltage.  As R2 in decrease"
BN,1,"The voltage source does not change in terms of power as it is a independent source therefore the power at Vs does not change.  The power at R1 is equal to that of the power at Vs because of the same voltage and current.  R3 increases from an increase in current.  As R2's resistance decreases the power found at R2 also decreases because of Ohm's law and the power law."
JP,1,"The power of the circuit will not change because as the resistance of R2 approaches zero it begins to act like a short circuit which will cause the current to bypass R3 and will not change in value of the current through the circuit so the power through the circuit won't change.  Power equals voltage times current."
DK,1,"Power equals voltage times current.  As R3 decreases toward zero all other elements will have to dissipate more power."
MH,1,"The power will be divided by R1 and R2 and R3 or it better to say we have one big resistor.  In this case we have one big resistor which makes it easier to compute the other elements"
JF,1,"As the resistance drops in R2 the current will increase in the current.  Ass R becomes smaller current will increase.  Voltage equals current times resistance."
JE,1,"The other elements would remain unchange.  Since power is conserved the as R2 is lowered, the power of the other's is not affected."
AC,1,"We know that decreasing R2 makes the current smaller, and thus the power of Vs and R1 will go down.  Also, the fact that R23 would decrease in value means that by using Ohm's law, both powers of R2 and R3 will also decrease."
SB,1,"The power of Vs would remain the same because of power equals voltage times current.  The power of R1 would also be the same because it is in series and because power equals current times resistance squared.  But R2 and R3 would be affected because they are in parallel.  The power in R2 would decrease because of the lowered resistance, but R3 would become greater.  Based on the equation for resistor in series."
AA,1,"The power goes from high to low. Vs source of power.  R1 disp.  R3 perelier so apsorbing power."
EF,1,"As R2 decreases R32 will also decrease resulting in an overall lower resistance in the circuit."
AM,1,"I know that R2 and R3 are connected in parallel so they won't have the same currents.  But, I would need to combine all my resistors first to find the total current.  After finding all the currents, figure out power equations before and after R2 (keeping in mind that power is supposed to be conserved but in this case, it's not)."
CVM,1,"Power equals current times resistance.  R2 and R3 are in parallel.  The equivalent resistance in the circuit is R1 plus R23.  If the equivalent resistance is lowered Vs will increase, so the power associated with Vs will have to increase.  If Vs has to increase, then because Vs equals Is times the equivalent resistance, the the equivalent resistance will have to increase to keep the current the same.  This means R1 will have to increase and R3 will have to decrease."
DB,2,"As the resistance of R2 decreases more power will flow through R2 than R3.  Vs and R1 will remain the same because R2 has no effect on either of them.  Electricity takes the path of least resistance so as R2 decreases more will flow through it than R3.  As R2 decreases it causes the equivalent resistance to also decrease between R2 and R3.  The voltage drop across R2 will be less therefore the voltage drop across R3 must be more considering KVL.  The total amount of voltage put into the circuit must drop before reaching the voltage source again."
JoL,2,"The current and voltage won't change for Vs and so the power will be constant.  As is the case with Vs, the power of R1 will be constant also.  Due to Ohm's law, voltage equals current times resistance and the fact that R2 is in parallel with R3, the voltage of R2 must be equivalent to R3.  So, as it loses resistance, more current will need to flow through to keep a constant voltage.  Which means the power will increase in R2 as the resistance lowers.  For R3 the current and voltage will be constant so the power must also be constant."
MM,2,"As the resistance of R2 decreases it becomes more and more like just a plain wire (ideally with zero resistance).  While R2 decreases the current threw R1 stays the same, the voltage source also stays the same so in turn the power of R1 and Vs stays the same.  But as the resistance of R2 decreases the power of R3 also decreases, this happens because R2 starts to act like a short circuit and all the current is flowing threw it.  So to sum it all up R1 and Vs do not change, R3 looses power and R2 gains power (power is conserved)."
OR,2,"To start just looking at R2 and using power equals current squared time resistance as the resistance decreases it power will also decrease.  Next looking at R2 and R3 the resistors are in parallel meaning they can be combined.  If R2 decreases it makes the resistance of R23 increase thus increasing power at R3.  The finally looking at R23 plus R1 because they are in series, knowing that R23's resistance is increasing but R1 stays constant, R1's power will remain unchanged.  The voltage source Vs will remain constant and the current through will also be unchanged so its power will stay the same."
AD,2,"As R2 decreases, the equivalent resistance of the whole circuit would decrease as shown in the equivalent circuit above.  So if the equivalent resistance decreased and the voltage had to stay the same the current would increase.  Voltage equals current times resistance.  Power equals voltage times current.  Power equals current squared time resistance."
